merchant_id,merchant_name,mcc,mcc_category,country,base_risk_multiplier
MERCH00000,Direct 0000 GmbH,5967,Direct Marketing / Subscriptions,PL,1.4
MERCH00001,Electronics 0001 SARL,5732,Electronics,FR,1.6
MERCH00002,Jewelry 0002 SA,5944,Jewelry,IT,3.0
MERCH00003,Restaurants 0003 SRL,5812,Restaurants,IT,1.1
MERCH00004,Grocery 0004 BV,5411,Grocery Stores,ES,0.9
MERCH00005,Direct 0005 AB,5967,Direct Marketing / Subscriptions,FR,1.4
MERCH00006,Restaurants 0006 Sp. z o.o.,5812,Restaurants,DE,1.1
MERCH00007,Grocery 0007 Ltd,5411,Grocery Stores,NL,0.9
MERCH00008,Jewelry 0008 Group,5944,Jewelry,ES,3.0
MERCH00009,Crypto 0009 & Co,6051,Crypto / Money Transfer,IT,3.5
MERCH00010,Grocery 0010 GmbH,5411,Grocery Stores,DE,0.9
MERCH00011,Airlines 0011 SARL,4511,Airlines,FR,2.4
MERCH00012,Grocery 0012 SA,5411,Grocery Stores,NL,0.9
MERCH00013,Fuel 0013 SRL,5541,Fuel Stations,DE,0.8
MERCH00014,Crypto 0014 BV,6051,Crypto / Money Transfer,ES,3.5
MERCH00015,Jewelry 0015 AB,5944,Jewelry,FR,3.0
MERCH00016,Electronics 0016 Sp. z o.o.,5732,Electronics,IE,1.6
MERCH00017,Airlines 0017 Ltd,4511,Airlines,DE,2.4
MERCH00018,Direct 0018 Group,5967,Direct Marketing / Subscriptions,ES,1.4
MERCH00019,Utilities 0019 & Co,4900,Utilities,IT,0.3
MERCH00020,Electronics 0020 GmbH,5732,Electronics,IE,1.6
MERCH00021,Fuel 0021 SARL,5541,Fuel Stations,IT,0.8
MERCH00022,Misc 0022 SA,5999,Misc Retail,ES,1.0
MERCH00023,Airlines 0023 SRL,4511,Airlines,DE,2.4
MERCH00024,Clothing 0024 BV,5651,Clothing Stores,FR,1.0
MERCH00025,Jewelry 0025 AB,5944,Jewelry,ES,3.0
MERCH00026,Grocery 0026 Sp. z o.o.,5411,Grocery Stores,IT,0.9
MERCH00027,Utilities 0027 Ltd,4900,Utilities,NL,0.3
MERCH00028,Hotels 0028 Group,7011,Hotels,IT,2.0
MERCH00029,Jewelry 0029 & Co,5944,Jewelry,DE,3.0
MERCH00030,Electronics 0030 GmbH,5732,Electronics,DE,1.6
MERCH00031,Airlines 0031 SARL,4511,Airlines,DE,2.4
MERCH00032,Restaurants 0032 SA,5812,Restaurants,IT,1.1
MERCH00033,Grocery 0033 SRL,5411,Grocery Stores,DE,0.9
MERCH00034,Electronics 0034 BV,5732,Electronics,DE,1.6
MERCH00035,Clothing 0035 AB,5651,Clothing Stores,SE,1.0
MERCH00036,Fuel 0036 Sp. z o.o.,5541,Fuel Stations,FR,0.8
MERCH00037,Misc 0037 Ltd,5999,Misc Retail,ES,1.0
MERCH00038,Electronics 0038 Group,5732,Electronics,DE,1.6
MERCH00039,Direct 0039 & Co,5967,Direct Marketing / Subscriptions,FR,1.4
MERCH00040,Grocery 0040 GmbH,5411,Grocery Stores,SE,0.9
MERCH00041,Restaurants 0041 SARL,5812,Restaurants,DE,1.1
