year_month,total_transactions,total_amount,fraud_transactions,avg_risk_score,fraud_rate_pct
2024-02,42,141458.06,42,,100.0
2024-03,90,305848.73,90,,100.0
2024-04,15361,2284030.38,27,,0.1758
2024-05,15628,2139921.24,2,,0.0128
2024-06,15287,2108206.89,8,,0.0523
2024-07,15772,2263797.39,37,,0.2346
2024-08,15337,2116571.5,16,,0.1043
2024-09,15125,2092917.72,32,,0.2116
2024-10,15829,2247032.59,42,,0.2653
2024-11,15115,2147648.64,40,,0.2646
2024-12,15570,2150749.0,18,,0.1156
2025-01,15864,2194873.54,6,,0.0378
2025-02,14210,1980122.06,62,,0.4363
2025-03,15936,2188567.62,45,,0.2824
2025-04,15043,2083626.26,28,,0.1861
2025-05,15638,2151203.75,49,0.0042908384118038635,0.3133
2025-06,15215,2136734.59,43,0.004111791131225897,0.2826
2025-07,15795,2195461.08,67,0.005399055331363456,0.4242
2025-08,15655,2145874.22,74,0.006015606076766757,0.4727
2025-09,11235,1561893.25,34,0.004397400367530474,0.3026
2025-10,84,22449.84,84,0.9387827173662684,100.0
2025-11,52,12417.310000000001,52,0.9753691091118222,100.0
2025-12,41,17181.21,41,0.9747394508499126,100.0
2026-01,21,12010.130000000001,21,0.9389858806932294,100.0
2026-02,15,4917.3,15,0.9669269428064204,100.0
2026-03,44,14488.11,44,0.974961504352438,100.0
2026-04,53,20993.18,53,0.9609785164277069,100.0
2026-05,12,13687.119999999999,12,0.9427708645116136,100.0
2026-06,16,1532.69,16,0.9642280182243268,100.0
2026-07,19,6556.32,19,0.9432950365416638,100.0
2026-08,15,1330.53,15,0.8818011817154883,100.0
2026-09,11,1764.35,11,0.92154323424025,100.0
2026-10,20,1940.06,20,0.9510429453457171,100.0
2026-11,3,1400.0,3,0.998375051814225,100.0
2027-02,1,500.0,1,0.999490412512099,100.0
